iter	Passed	Remaining
0	173	173015
1	190	95217
2	205	68419
3	220	54953
4	233	46452
5	246	40862
6	263	37415
7	279	34640
8	294	32377
9	309	30596
10	323	29103
11	338	27872
12	355	26973
13	370	26110
14	386	25407
15	404	24853
16	418	24221
17	433	23651
18	448	23156
19	478	23432
20	512	23878
21	535	23788
22	556	23655
23	585	23797
24	604	23570
25	623	23360
26	641	23114
27	721	25056
28	806	27017
29	896	28993
30	952	29781
31	972	29426
32	995	29180
33	1019	28967
34	1039	28672
35	1065	28540
36	1086	28276
37	1111	28140
38	1131	27888
39	1151	27643
40	1167	27312
41	1183	26997
42	1201	26740
43	1307	28404
44	1386	29427
45	1514	31405
46	1560	31641
47	1629	32322
48	1713	33263
49	1775	33741
50	1818	33845
51	1863	33980
52	1906	34058
53	1932	33847
54	1961	33701
55	1982	33416
56	2006	33194
57	2030	32972
58	2054	32767
59	2079	32582
60	2100	32335
61	2123	32125
62	2143	31882
63	2163	31640
64	2181	31375
65	2198	31109
66	2214	30832
67	2229	30562
68	2246	30305
69	2263	30071
70	2279	29828
71	2297	29607
72	2313	29375
73	2328	29139
74	2344	28915
75	2360	28698
76	2377	28495
77	2393	28297
78	2410	28106
79	2427	27913
80	2441	27701
81	2456	27501
82	2472	27312
83	2487	27125
84	2501	26930
85	2513	26714
86	2526	26512
87	2539	26315
88	2551	26120
89	2564	25931
90	2575	25731
91	2590	25567
92	2603	25391
93	2617	25226
94	2630	25057
95	2641	24872
96	2653	24705
97	2669	24568
98	2686	24452
99	2700	24306
100	2715	24173
101	2729	24032
102	2743	23889
103	2755	23743
104	2770	23618
105	2786	23498
106	2800	23370
107	2815	23257
108	2831	23147
109	2847	23035
110	2861	22917
111	2874	22792
112	2887	22664
113	2902	22556
114	2916	22446
115	2931	22341
116	2947	22243
117	2963	22153
118	2977	22045
119	2990	21933
120	3003	21821
121	3017	21716
122	3031	21612
123	3045	21514
124	3062	21436
125	3078	21351
126	3092	21260
127	3107	21169
128	3119	21060
129	3132	20964
130	3146	20873
131	3161	20789
132	3175	20699
133	3188	20607
134	3202	20517
135	3215	20430
136	3230	20347
137	3243	20262
138	3261	20204
139	3274	20116
140	3288	20032
141	3299	19938
142	3314	19865
143	3329	19790
144	3342	19712
145	3357	19638
146	3370	19560
147	3385	19486
148	3397	19403
149	3411	19330
150	3425	19258
151	3439	19188
152	3453	19120
153	3470	19065
154	3484	18997
155	3497	18922
156	3510	18851
157	3524	18780
158	3537	18712
159	3551	18646
160	3563	18571
161	3574	18491
162	3587	18420
163	3603	18369
164	3616	18303
165	3629	18236
166	3640	18159
167	3653	18093
168	3666	18029
169	3682	17977
170	3700	17941
171	3715	17885
172	3727	17819
173	3738	17747
174	3751	17687
175	3764	17624
176	3776	17560
177	3788	17495
178	3802	17440
179	3818	17393
180	3831	17337
181	3845	17281
182	3859	17229
183	3870	17163
184	3882	17104
185	3895	17047
186	3907	16989
187	3928	16968
188	3948	16943
189	3967	16914
190	3986	16884
191	4010	16875
192	4028	16844
193	4052	16836
194	4068	16793
195	4081	16743
196	4099	16711
197	4115	16671
198	4129	16622
199	4143	16575
200	4157	16527
201	4168	16468
202	4181	16417
203	4195	16369
204	4208	16320
205	4221	16271
206	4234	16221
207	4247	16172
208	4262	16132
209	4275	16085
210	4290	16042
211	4303	15995
212	4314	15943
213	4329	15902
214	4342	15856
215	4355	15809
216	4368	15763
217	4380	15711
218	4393	15666
219	4407	15625
220	4422	15587
221	4438	15555
222	4453	15517
223	4466	15474
224	4477	15423
225	4491	15381
226	4504	15338
227	4517	15295
228	4529	15248
229	4541	15203
230	4553	15159
231	4567	15118
232	4579	15074
233	4590	15028
234	4603	14985
235	4619	14955
236	4636	14926
237	4651	14892
238	4665	14856
239	4678	14815
240	4689	14769
241	4702	14729
242	4715	14689
243	4728	14649
244	4739	14604
245	4752	14568
246	4766	14529
247	4779	14492
248	4791	14451
249	4804	14412
250	4817	14375
251	4830	14337
252	4843	14301
253	4855	14260
254	4867	14221
255	4880	14184
256	4894	14149
257	4906	14111
258	4923	14087
259	4937	14052
260	4950	14016
261	4965	13985
262	4977	13949
263	4990	13912
264	5001	13872
265	5014	13835
266	5029	13806
267	5044	13778
268	5058	13746
269	5071	13711
270	5082	13672
271	5095	13638
272	5109	13607
273	5123	13574
274	5137	13544
275	5153	13519
276	5167	13486
277	5180	13455
278	5196	13428
279	5210	13397
280	5225	13370
281	5241	13344
282	5259	13326
283	5278	13308
284	5296	13286
285	5309	13254
286	5322	13222
287	5334	13188
288	5346	13152
289	5359	13121
290	5374	13093
291	5387	13061
292	5399	13028
293	5410	12992
294	5422	12959
295	5438	12934
296	5451	12903
297	5462	12867
298	5475	12838
299	5488	12806
300	5503	12780
301	5519	12755
302	5534	12730
303	5548	12702
304	5561	12672
305	5575	12645
306	5589	12618
307	5603	12590
308	5617	12562
309	5633	12538
310	5647	12511
311	5658	12477
312	5672	12451
313	5685	12421
314	5698	12392
315	5712	12364
316	5724	12333
317	5736	12303
318	5750	12276
319	5764	12249
320	5777	12221
321	5794	12200
322	5810	12178
323	5824	12152
324	5839	12127
325	5852	12099
326	5865	12072
327	5881	12050
328	5896	12026
329	5911	12002
330	5928	11983
331	5943	11957
332	5958	11935
333	5980	11925
334	5996	11903
335	6014	11886
336	6030	11863
337	6045	11841
338	6061	11818
339	6077	11797
340	6090	11770
341	6104	11745
342	6116	11716
343	6130	11691
344	6143	11664
345	6159	11642
346	6173	11617
347	6184	11587
348	6199	11563
349	6214	11541
350	6233	11524
351	6247	11500
352	6262	11478
353	6279	11459
354	6294	11437
355	6311	11417
356	6325	11392
357	6339	11368
358	6354	11346
359	6366	11318
360	6378	11290
361	6392	11265
362	6406	11242
363	6420	11219
364	6432	11191
365	6445	11164
366	6458	11140
367	6473	11116
368	6487	11093
369	6499	11067
370	6511	11039
371	6526	11017
372	6541	10995
373	6556	10973
374	6570	10950
375	6585	10929
376	6599	10905
377	6614	10884
378	6626	10858
379	6639	10832
380	6652	10808
381	6667	10786
382	6680	10762
383	6693	10737
384	6704	10710
385	6718	10686
386	6732	10664
387	6748	10644
388	6761	10620
389	6773	10594
390	6785	10568
391	6800	10547
392	6815	10526
393	6830	10506
394	6844	10484
395	6857	10460
396	6869	10433
397	6883	10411
398	6897	10389
399	6910	10366
400	6923	10342
401	6935	10316
402	6948	10293
403	6960	10269
404	6974	10245
405	6988	10224
406	7000	10199
407	7014	10178
408	7029	10157
409	7069	10172
410	7093	10165
411	7120	10161
412	7143	10152
413	7165	10142
414	7189	10134
415	7213	10125
416	7238	10119
417	7255	10101
418	7271	10082
419	7285	10061
420	7299	10038
421	7310	10012
422	7324	9991
423	7337	9967
424	7353	9949
425	7368	9928
426	7383	9907
427	7394	9882
428	7407	9858
429	7421	9838
430	7436	9817
431	7451	9796
432	7465	9775
433	7477	9751
434	7488	9727
435	7501	9704
436	7516	9683
437	7529	9661
438	7541	9636
439	7554	9614
440	7569	9594
441	7584	9574
442	7600	9556
443	7615	9536
444	7631	9518
445	7650	9502
446	7670	9489
447	7687	9472
448	7703	9453
449	7719	9434
450	7736	9417
451	7752	9399
452	7767	9379
453	7782	9359
454	7797	9340
455	7813	9321
456	7829	9303
457	7846	9285
458	7864	9269
459	7878	9248
460	7890	9226
461	7906	9206
462	7926	9193
463	7944	9177
464	7961	9160
465	7982	9147
466	8009	9141
467	8033	9131
468	8055	9120
469	8071	9102
470	8088	9084
471	8101	9063
472	8115	9041
473	8129	9021
474	8144	9002
475	8162	8985
476	8181	8970
477	8197	8951
478	8211	8931
479	8227	8912
480	8243	8895
481	8258	8875
482	8271	8854
483	8284	8831
484	8295	8808
485	8308	8786
486	8321	8765
487	8334	8744
488	8345	8720
489	8359	8700
490	8371	8678
491	8385	8657
492	8399	8638
493	8410	8615
494	8426	8596
495	8438	8574
496	8451	8553
497	8464	8532
498	8477	8511
499	8490	8490
500	8503	8469
501	8516	8448
502	8527	8425
503	8542	8406
504	8558	8389
505	8576	8372
506	8588	8351
507	8601	8330
508	8614	8309
509	8625	8286
510	8639	8267
511	8656	8250
512	8669	8230
513	8685	8212
514	8702	8195
515	8715	8174
516	8728	8154
517	8742	8134
518	8754	8113
519	8767	8093
520	8782	8074
521	8795	8053
522	8808	8034
523	8819	8011
524	8833	7992
525	8846	7972
526	8861	7953
527	8874	7933
528	8888	7913
529	8900	7892
530	8912	7871
531	8925	7852
532	8936	7829
533	8948	7809
534	8963	7790
535	8976	7770
536	8989	7750
537	9000	7729
538	9012	7708
539	9025	7688
540	9038	7668
541	9051	7648
542	9065	7629
543	9078	7609
544	9092	7591
545	9107	7573
546	9120	7553
547	9131	7531
548	9145	7512
549	9157	7492
550	9170	7473
551	9181	7451
552	9200	7436
553	9217	7420
554	9231	7401
555	9248	7385
556	9275	7377
557	9295	7362
558	9311	7345
559	9327	7328
560	9350	7317
561	9370	7303
562	9387	7286
563	9404	7270
564	9420	7252
565	9437	7236
566	9455	7220
567	9480	7210
568	9494	7191
569	9508	7173
570	9523	7155
571	9537	7136
572	9551	7117
573	9565	7099
574	9577	7078
575	9591	7060
576	9605	7041
577	9619	7023
578	9633	7004
579	9647	6986
580	9660	6967
581	9671	6946
582	9684	6926
583	9697	6907
584	9709	6887
585	9722	6868
586	9735	6849
587	9748	6830
588	9762	6811
589	9773	6791
590	9786	6772
591	9799	6753
592	9813	6735
593	9826	6716
594	9837	6695
595	9849	6676
596	9862	6657
597	9875	6638
598	9887	6619
599	9900	6600
600	9913	6581
601	9926	6562
602	9942	6545
603	9953	6526
604	9966	6506
605	9978	6487
606	9991	6468
607	10001	6448
608	10015	6430
609	10031	6413
610	10043	6394
611	10057	6376
612	10068	6356
613	10080	6337
614	10093	6318
615	10106	6299
616	10116	6280
617	10132	6262
618	10145	6244
619	10158	6225
620	10170	6207
621	10181	6187
622	10193	6168
623	10206	6150
624	10219	6131
625	10230	6112
626	10245	6094
627	10261	6078
628	10278	6062
629	10293	6045
630	10306	6027
631	10319	6008
632	10330	5989
633	10344	5971
634	10358	5953
635	10370	5935
636	10383	5916
637	10394	5897
638	10406	5879
639	10419	5861
640	10432	5842
641	10443	5823
642	10457	5805
643	10470	5788
644	10486	5771
645	10502	5755
646	10517	5738
647	10528	5719
648	10542	5701
649	10556	5684
650	10569	5666
651	10582	5648
652	10593	5629
653	10605	5610
654	10617	5592
655	10631	5575
656	10643	5556
657	10656	5538
